GROUP_INTRO|COMPANY|JOB_POSTING_URL|TITLE_IMG|BENEFITS|RECRUIT_DEADLINE|TITLE|PREFERENTIAL|MAINDUTIES|WORKING_AREA|LOGO_IMG|JOB_GROUP|QUALIFICATION|ID
"포컴퍼니는 2016년 설립되어 총 4개의 화장품 브랜드 사업을 영위하고 있는 국내 화장품 브랜드사 입니다.


스킨케어 브랜드 Abib를 시작으로 색조 브랜드 NAMING. , 남성 스킨케어 브랜드 BOLD FORMULA, 페미닌케어 브랜드 VASOL을 운영 중입니다. 


지난 6년간 우수한 제품력을 바탕으로 건강하고 탄탄하게 브랜드를 성장시켜 나가고 있습니다. 현재 국내 성장을 발판으로 전세계 여러 국가에 진출하여 글로벌 브랜드로 거듭나는 중이며 이러한 성장세 속에서 함께 하실 ""화장품 제품기획개발 BM"" 을 모집하고 있습니다. 

회사의 성장은 개인의 성장을 바탕으로 이루어지고, 열정 가득한 구성원들이 더욱 좋은 회사를 만들어 갈 수 있다고 생각합니다.우수한 인재 분들의 많은 지원 바랍니다."|포컴퍼니|https://www.wanted.co.kr/wd/194416|https://static.wanted.co.kr/images/company/16368/to0uztyqghbwq9pb__1080_790.jpg|"• 매주 금요일 단축근무 (16시 퇴근)
• 자사제품 임직원 할인 (60%)
• 신규입사자 Welcome kit & 자사제품 제공
• 자기개발비 지원
• 종합건강검진
• 경조사 지원
• 간식 제공"|2023-12-17|[NAMING.] 화장품 브랜드 제품기획개발 BM (5년이상)|"- 협력업체 핸들링 및 커뮤니케이션 우수자
- H&B(올리브영) 유통 채널 경험자
- 해외 타겟 제품기획 및 개발 경험"|"- 담당 브랜드
: NAMING.(메이크업), VASOL(페미닌케어), 볼드포뮬러(남성스킨케어) 제품개발
  ※ NAMING.(메이크업) 브랜드 위주

- 국내·외 시장 트렌드 조사 및 신제품 컨셉 기획
- 제형 개발, 품평, 제조사 핸들링
- 제품 운영 관리
- 제조사(OEM/OEM) 커뮤니케이션 및 업체 핸들링"|서울시 송파구 백제고분로9길 14, 3~4층|https://static.wanted.co.kr/images/wdes/0_4.146c65f2.png|522|"- 화장품 상품기획 개발 업무 경력 5년 이상
  (※ 포트폴리오 첨부 필수)
- 메이크업 카테고리 제품 개발 경험 보유자"|194416
"AIDOT (아이도트)는 의료 인공지능 진단 솔루션 전문 스타트업 기업으로, 자궁경부암 원격판독 AI솔루션 뿐 아니라, 경동맥 초음파 뇌졸중 진단 AI 등 여러 인공지능 기반 의료기기를 개발하여 국내 뿐 아니라 실제 매출을 내며 글로벌사업화를 진행하고 있는 회사입니다. 글로벌 투자유치를 통하여 2024년 상반기 코스닥 상장을 목표로 하고 있으며, 스톡옵션과 우리사주제도를 통해 모든 임직원에게 노력의 결실을 나누는 회사입니다.

입사 시, 스톡옵션 전원 부여 등, 코스닥 상장의 비전을 같이 누리실 우수한 인재들을 환영합니다.

다음과 같이 역량있고 유능한 인재를 모집하오니 많은 관심과 지원 바랍니다."|아이도트|https://www.wanted.co.kr/wd/194233|https://static.wanted.co.kr/images/company/23721/l37akkgp4fqyw9ex__1080_790.png|"[근무형태] 정규직 (수습3개월, 수습 중 급여 100%)
[전부서 공통] 내년 상장 예정, 전직원 스톡옵션 부여의 혜택 

- 복리후생
ㆍ입사 시 스톡옵션 부여
ㆍ복지포인트 제공
ㆍ경조휴가 및 경조금 지급
ㆍ점심식사 및 야근석식 제공
ㆍ탕비실 간식바 제공
ㆍ업무관련 교육 지원"||QA (5년 이상)|"1. ISO13485 - 내부심사원 자격 혹은 선임심사원 자격 및 수행경험보유 외부심사 대응 경험보유
2. QMS 전반적인 프로세스 수립 및 관리
3. 설계개발 프로세스, 설계변경 프로세스 및 CAPA처리 경험보유
4. 내부심사 및 2자, 3자심사 대응 경험보유
5. 품질시스템관리 실무경력 3년 이상
6. 영어 읽고 쓰기 능통"|- QA담당|서울특별시 송파구 법원로 128, C동 1007,1008호|https://static.wanted.co.kr/images/wdes/0_4.018c05b9.jpg|522|"- 경력 : 5년이상
- 학력 : 4년제
- 나이/성별 : 무관 
- 직급/직책 : 팀장
- 근무시간 : 주 5일(월~금) 오전 9시 30분 ~ 오후 6시 30분
- 급여 : 회사내규에 따름"|194233
"o 샘표는 열정이 있습니다.
- 맡은 일에 몰두하여 끊임없이 개선하려는 분들과 함께하고 싶습니다.

o 샘표는 겸손합니다.
- 타인의 의견을 존중하여 끊임없이 개선하려는 분들과 함께하고 싶습니다.

o 샘표는 사심이 없습니다.
- 가장 좋은 방향으로 합리적인 판단을 하려는 분들과 함께하고 싶습니다.

■ 전형절차
서류지원 ▶ 인적성검사 ▶ 대면면접(1차&2차) ▶ 최종합격"|샘표식품|https://www.wanted.co.kr/wd/194200|https://static.wanted.co.kr/images/company/14315/zgwxqut0r5apm56p__1080_790.jpg|"o 사유없는 연차 사용(연차, 반차, 반반차)
o 휴가 나누기 제도
o 탄력적 근무제도 운영
o 장기근속자 부부동반여행
o 정년퇴직 후 재고용 및 공로금
o 연구소/공장 통근버스 운영
o 복지포인트
o 무료 조식/중식/석식 제공
o 생일 케이크 지원
o 자회사제품 할인
o 배우자 상해보험
o 도서구입비
o 임직원 자녀 학자금 지원
o 팀빌딩/펀데이/워크샵 진행 등
o 사내 우리맛클래스
o 옴부즈만 제도
o 우리생각 나눔회
o 우수사원 해외연수"||식품 품질분석/기기분석|"• KOLAS 공인시험기관 근무 경험이 있는 분
• KOLAS 공인시험기관 교육 경험이 있는 분(ISO 17025, 측정 불확도 교육 과정)
• ISP 9001 인증 시스템 하에서 품질분석/기기분석 업무 수행 경험이 있는 분
• HACCP 인증 시스템 하에서 화학적 위해요소 발생가능성 기기분석 관리 경험이 있는 분"|"• ICP/MS, HPLC, GC/MS, 아미노산 자동분석기 활용 식품 품질분석 (중금속, 미네랄, 보존료, 곰팡이 독소, 바이오제닉아민, 아미노산, 유기당, 유기산 외)
• 식품 품질분석/기기분석 장비 및 시험환경 유지 관리
• 식품 품질분석/기기분석 시험표준서, 장비관리 표준서 제/개정 관리
• 원/부자재, 중간제품 및 완전품 화학적 위해요소 발생가능성 모니터링
• 제품 및 상품 품질이슈, 고객클레임 원인 분석
• 계측기 사내외 검/교정 관리
• 사내외 분석 숙련도 참여 및 관리"|이천시 호법면 이섭대천로 58, 샘표 이천공장|https://static.wanted.co.kr/images/wdes/0_4.e5d2b743.jpg|522|"• 관련 경력이 3년 이상인 분
• 전문학사 이상의 학력을 갖춘 분
• MS Office 운영 중급 이상 활용 가능한 분"|194200
"킥더허들은 건강기능식품 브랜드인 PHYTOTICS를 기반으로 사업을 운영하고 있으며, 더 나아가 온라인 개인 맞춤형 영양제 처방 서비스인 핏타민을 제공하고 있습니다.
2022년 연 매출 300억 이상을 달성하고 있으며 , 최근 신세경님을 광고모델로 지속적인 홍보와 서비스 확대를 통해 성장하고 있는 기업입니다.
또한 에이전트 H와 덱스 등 전문 크리에이터와 함께 하는 킥더허들 스튜디오를 운영하고 있습니다.
금번 킥더허들 태백 DNAI지점에서 근무할 소분 스탭을 채용하고 있습니다.
많은 관심과 지원 부탁드리겠습니다."|킥더허들|https://www.wanted.co.kr/wd/194191|https://static.wanted.co.kr/images/company/36191/nafrgmn3zdo25eug__1080_790.jpg|"• 자사제품 할인
• 도서구매지원
• 생일자 반차
• 사내 간식바
• 자율 복장
• 경조사 지원제도"|2023-12-31|[태백] 핏타민 소분스탭||"• 영양제 자동 포장 기계 활용 및 소분, 포장, 검수 (우선업무)
• 작업준비 및 진열, 택배 포장 (우선업무)
• 위생 가이드라인 준수 및 현장 위생 관리
• 업무 관련 커뮤니케이션 및 문제 해결
• 입출고 및 재고, 창고 관리"|태백시 황지동 번영로 360, 2층 |https://static.wanted.co.kr/images/wdes/0_4.16c0cbc4.png|522|"• 꼼꼼하고 위생관념이 투철하신 분
• 컴퓨터 활용 능력 우수자
• 남성은 군필자 혹은 면제자
• 2023년 12월부터 근무 가능자•"|194191
"윌로그는 하드웨어 및 소프트웨어 기술, 그리고 데이터를 통해 물류 산업의 디지털 전환을 돕는 B2B 물류 Saas 솔루션 기업입니다. 업무에 필요한 리소스를 효율적으로 사용하고, 기업 전체의 프로세스를 자동화하여 신뢰를 쌓고 생산성을 높일 수 있는 물류 서비스를 제공하는 것을 목표로 합니다. 

현재 시리즈 B 투자 완료(23년 10월)와  함께 앞으로 더욱 다양한 하드웨어 제품과 안정적인 소프트웨어를 운영할 예정입니다. 2021년 창립  후 지난 2년간 빠르게 성장했고, 오직 고객 경험 향상을 위한 제품 및 서비스의 구조적 성장을 목표로 합니다. 

윌로그 하드웨어 개발팀은 NFC/BLE 단말기 H/W, IoT/ M2M/ Cellular IoT 단말기 H/W, IoT Gateway HW 등을 통해 물류 산업 내 운영능력을 높이는 디바이스를 개발합니다. 기구 설계 및 개발자는 윌로그 디바이스가 물류 현장의 데이터를 원활하게 수집할 수 있도록 각각의 부품들이 적절히 배치하여 설계합니다. 이를 위해 다양한 경험과 시각을 가진 동료와 더 나은 개발 방향과 기술셋을 치열하게 협의하고 결정하며, 높은 기준으로 “더 많은 고객에게, 더 큰 효율성을, 더 빠르게 해결하는 것”에 목표로 할 유능한 분을 모시고 있습니다.



[ 윌로그의 Hardware 개발팀을 소개합니다]

윌로그 Hardware 개발팀은 고객들이 물류 현장에서 번거로운 일을 효율적으로 디지털화할 수 있는 HW 디바이스를 개발하고 운영합니다. 완성도 높은 디바이스를 통해 서비스 만족도가 지속할 수 있도록 기존 제품의 체계적인 이슈 대응과 품질 안정화를 통해 제품 로드맵 달성에 기여합니다.


우리가 하는 모든 것에는 정답이 없습니다. 
 •  왜 그 일을 해야 하는지에 대한 공감대를 형성하고, 지속해서 공유하며 함께 이야기를 나눕니다.
 •  우리는 새로운 미션을 통해 성장해 나갑니다. 예기치 못하거나 빠르게 변화하는 환경 속에서도 긍정적인 자극을 주고받으며 목표 달성에 대한 의지를 발휘합니다.


개발 계획과 코드를 공유하고 리뷰를 통해 모두가 개발에 참여할 수 있는 문화를 지향합니다.
 •  문제 발견부터 해결까지 모든 과정에서 누구든지 접근하여, 함께 고민하고 참여합니다.
 •  단순히 자신의 역할과 권한의 한계를 넘어, 스스로 역할을 주도적으로 확장해 나갑니다.


규칙은 있되 강요하지 않으며, 자연스럽게 모든 것을 공유합니다. 
 •  자율과 책임감은 우리를 더 건강하고 빠르게 성장시킬 거라고 믿습니다. 우리 스스로 리더로서 일한다면 더 큰 성과를 낼 수 있습니다.
 •  정보의 독점은 결국 수직적인 소통 관계를 만듭니다. 가능한 많은 정보를 투명하게 공유할 수 있도록 협업툴을 적극 사용하며 지속적인 커뮤니케이션을 추구합니다."|윌로그|https://www.wanted.co.kr/wd/193878|https://static.wanted.co.kr/images/company/22550/2csq5ocnyi4jmplo__1080_790.png|"근무요일 : 월 ~ 금(주5일)
 - 유연근무제 [ 출근 08:30 ~ 10:30 / 코어 10:30 ~ 17:30 ]
 - 근무지 : 서울 강남구 삼성로 507, JS타워 9층 (2호선 삼성역/선릉역, 9호선 삼성중앙역 도보 8분이내)

복지
- 유연근무제 도입확정 (8시30분 ~ 10시30분 사이 출근)
- 오피스 내에 집중 업무공간, 전화부스, 카페, 수면실, 샤워실 등
- 입사와 동시에 11일 연차 미리 제공(반차, 반반차 등 자유로운 연차사용)
- 생일 반차(유급휴가) 제공
- 커피, 음료, 간식이 무제한인 사내 카페테리아 
- 프리미엄 건강검진 : 본인과 가족1인 포함 (입사 1년 후 매년/ 반차 제공)
- 장기근속 리프레시 휴가 (3년, 5년, 7년)
- 야근 식대, 택시비 지원"||HW 기구 설계(기구 개발) 담당자|"• IoT 단말기, 스마트폰 등의 유사 제품 개발 경력 보유자
• 산업용 PDA (결재 단말기) 제품 개발 경력 보유자
• 충전 크래들 또는 Battery 충전 Dock Station 제품 개발 경력 보유자
• 콜드체인 등 물류 산업 관련 제품 개발 경력 보유자
• 온도 측정기, Data Logger 제품 개발 경력 보유자 
• Solidworks (PRO-E) 등 3D 설계 Tool 사용 가능자
• 고성능 방수방진 제품 설계 경험 보유자 



[  함께 일하고 싶은 동료의 모습입니다. ]
• 더 나은 서비스를 만들기 위해 새로운 기술, 지식에 대한 열린 마인드를 가진 분
• 엄격하게 정의된 일정과 지표를 사용하여 계획적인 프로젝트 검증을 추진하는 데 전념하는 분
• 동료와의 협력, 협업을 통해 문제를 다뤄내는 데에 성취감을 느끼는 분
• 투철한 책임감과 분명한 목표의식을 바탕으로 내부 및 외부 고객에게 탁월한 고객 서비스를 제공하고자 하는 분"|"• 물류 현장에서 필요한 온도, 습도 및 위치 등을 확인할 수 있는 HW 제품 기구를 설계합니다.
    -      Plastic, Press, Rubber 등 부품을 활용한 설계 
• 디바이스를 구성하는 각각의 부품들이 어떤 기능을 하고 어떻게 배치되어야 하는지, 제품 기구 금형 및 사출 업체 관리를 통해 협업합니다
• 개발 제품 성능이 현장에서도 잘 이루어지도록 전반적인 평가 후, 부족한 점은 개선해나갑니다.
• 양산 제품 관리 및 도면 작성 관리 등을 통해 양산이 차질없이 이루어지도록 조율합니다.
• 디바이스가 현장에서 실제로 사용될 때 발생하는 문제를 결함을 분석하여 올바른 해결방안을 제시함으로써 필드 이슈의 번복을 최소화합니다."|서울특별시 강남구 삼성로 507, JS타워 9층|https://static.wanted.co.kr/images/wdes/0_4.9e46e194.png|522|"• IoT 단말기, 휴대폰, 스마트폰 등의 모바일 HW 제품 개발 경력 보유자
• 소형 전자 제품 &  휴대형 제품 설계 실무 경력 보유자
• Solidworks (PRO-E) 등 3D 설계 프로그램 능통자
• 다양한 디바이스 제품 개발 및 양산 경험 보유자
• 기계설계 공학 또는 이공계열 학위 소지자
• 이공계열 학위 소지자"|193878
"윌로그는 하드웨어 및 소프트웨어 기술, 그리고 데이터를 통해 물류 산업의 디지털 전환을 돕는 B2B 물류 Saas 솔루션 기업입니다. 업무에 필요한 리소스를 효율적으로 사용하고, 기업 전체의 프로세스를 자동화하여 신뢰를 쌓고 생산성을 높일 수 있는 물류 서비스를 제공하는 것을 목표로 합니다. 

현재 시리즈 B 투자 완료(23년 10월)와  함께 앞으로 더욱 다양한 하드웨어 제품과 안정적인 소프트웨어를 운영할 예정입니다. 2021년 창립  후 지난 2년간 빠르게 성장했고, 오직 고객 경험 향상을 위한 제품 및 서비스의 구조적 성장을 목표로 합니다. 

윌로그 하드웨어 개발팀은 NFC/BLE 단말기 H/W, IoT/ M2M/ Cellular IoT 단말기 H/W, IoT Gateway HW 등을 통해 물류 산업 내 운영능력을 높이는 디바이스를 개발합니다. 
이를 위해 다양한 경험과 시각을 가진 동료와 더 나은 개발 방향과 기술셋을 치열하게 협의하고 결정하며, 높은 기준으로 “더 많은 고객에게, 더 큰 효율성을, 더 빠르게 해결하는 것”에 목표로 할 유능한 분을 모시고 있습니다.



[ 윌로그의 Hardware 개발팀을 소개합니다]

윌로그 Hardware 개발팀은 고객들이 물류 현장에서 번거로운 일을 효율적으로 디지털화할 수 있는 HW 디바이스를 개발하고 운영합니다. 완성도 높은 디바이스를 통해 서비스 만족도가 지속할 수 있도록 기존 제품의 체계적인 이슈 대응과 품질 안정화를 통해 제품 로드맵 달성에 기여합니다.


우리가 하는 모든 것에는 정답이 없습니다. 
 •  왜 그 일을 해야 하는지에 대한 공감대를 형성하고, 지속해서 공유하며 함께 이야기를 나눕니다.
 •  우리는 새로운 미션을 통해 성장해 나갑니다. 예기치 못하거나 빠르게 변화하는 환경 속에서도 긍정적인 자극을 주고받으며 목표 달성에 대한 의지를 발휘합니다.


개발 계획과 코드를 공유하고 리뷰를 통해 모두가 개발에 참여할 수 있는 문화를 지향합니다.
 •  문제 발견부터 해결까지 모든 과정에서 누구든지 접근하여, 함께 고민하고 참여합니다.
 •  단순히 자신의 역할과 권한의 한계를 넘어, 스스로 역할을 주도적으로 확장해 나갑니다.


규칙은 있되 강요하지 않으며, 자연스럽게 모든 것을 공유합니다. 
 •  자율과 책임감은 우리를 더 건강하고 빠르게 성장시킬 거라고 믿습니다. 우리 스스로 리더로서 일한다면 더 큰 성과를 낼 수 있습니다.
 •  정보의 독점은 결국 수직적인 소통 관계를 만듭니다. 가능한 많은 정보를 투명하게 공유할 수 있도록 협업툴을 적극 사용하며 지속적인 커뮤니케이션을 추구합니다."|윌로그|https://www.wanted.co.kr/wd/193876|https://static.wanted.co.kr/images/company/22550/2csq5ocnyi4jmplo__1080_790.png|"근무요일 : 월 ~ 금(주5일)
 - 유연근무제 [ 출근 08:30 ~ 10:30 / 코어 10:30 ~ 17:30 ]
 - 근무지 : 서울 강남구 삼성로 507, JS타워 9층 (2호선 삼성역/선릉역, 9호선 삼성중앙역 도보 8분이내)

복지
- 유연근무제 도입확정 (8시30분 ~ 10시30분 사이 출근)
- 오피스 내에 집중 업무공간, 전화부스, 카페, 수면실, 샤워실 등
- 입사와 동시에 11일 연차 미리 제공(반차, 반반차 등 자유로운 연차사용)
- 생일 반차(유급휴가) 제공
- 커피, 음료, 간식이 무제한인 사내 카페테리아 
- 프리미엄 건강검진 : 본인과 가족1인 포함 (입사 1년 후 매년/ 반차 제공)
- 장기근속 리프레시 휴가 (3년, 5년, 7년)
- 야근 식대, 택시비 지원"||HW 생산 관리 및 자재 구매 담당자|"• 전자/ 컴퓨터 공학 또는 이공계열 학위
• 생산 관리 혹은 자재 구매 관련 업무 경험 보유자
• ERP 구축 또는 ERP 프로그램 사용 경험해보신 분
• 수출입 업무 경험 보유자
• 영어 혹은 중국어 회화 능력 보유자
• 운전면허(1종, 2종) 보유자


[  함께 일하고 싶은 동료의 모습입니다. ]
• 더 나은 서비스를 만들기 위해 새로운 기술, 지식에 대한 열린 마인드를 가진 분
• 엄격하게 정의된 일정과 지표를 사용하여 계획적인 프로젝트 검증을 추진하는 데 전념하는 분
• 동료와의 협력, 협업을 통해 문제를 다뤄내는 데에 성취감을 느끼는 분
• 투철한 책임감과 분명한 목표의식을 바탕으로 내부 및 외부 고객에게 탁월한 고객 서비스를 제공하고자 하는 분"|"• 하드웨어의 불량률을 최소화하며 원가절감을 이루며 제품생산이 원활하게 이루어질 수 있도록 유지하는 일을 담당합니다.
• 생산 관리(생산 기술)와 자재 구매(양산 자재 및 개발 자재)를 담당합니다.
     -   생산 관리 : 외주처 생산 일정 및 출하 관리, 외주 임가공비 원가분석 업무, 
        생산프로세스 관리 및 생산 공정 안정화, 제품 출하 관리
     -   자재 구매 : 전자제품 계열 회로부품자재 구매 및 발주 (내자,외자)
        : CPU, MCU, Memory, LCD, Batteuy, Connector, PCB, Power IC 류 구매 
        전자 제품 기구 자재 구매 및 발주, 재료비 원가분석 (업체조사,견적,단가 협의)   
        수출입 통관, 관세, 수출입 신고, 자재 입출고 관리"|서울특별시 강남구 삼성로 507, JS타워 9층|https://static.wanted.co.kr/images/wdes/0_4.9e46e194.png|522|"• IoT 단말기, 휴대전화, 스마트폰 등 모바일 HW 제품 구매 
• IT 전자 제품 자재 구매 경력 보유자"|193876
"[정밀 전자제품 핵심 소재/부품 공급사]
한화이센셜은 차별화된 기술력으로 스마트폰, 테블릿PC, 자동차 전장, 디스플레이 등 정밀 전자제품 핵심 소재/부품을 개발하여 국내 전자산업의 경쟁력 확보에 크게 기여했으며, 자동차 전장용 회로소재로 그 적용 분야를 확대하고 있습니다. 또한, OLED 패널 제조의 핵심 부품인 FMM 국산화를 위해 대규모 투자를 진행하는 등 미래 전자 소재 핵심 기업을 목표로 나아가고 있습니다."|한화이센셜|https://www.wanted.co.kr/wd/193472|https://static.wanted.co.kr/images/company/46174/bc9eg5w11nz1hnrf__1080_790.png|"• 주거지원 : 단신부임자 주거안정자금, 주택 융자금 등 지원
• 연금보험 : 국민연금(4대보험), 고용보험(4대보험), 산재보험(4대보험), 건강보험(4대보험)
• 동호회 : 사내동호회 운영, 사내동호회 지원
• 회사 분위기 : Start-up 분위기, 인재육성 중시
• 의료/건강 : 건강검진(일반/종합)
• 출산/육아 : 산전 후 휴가, 육아휴직, 남성출산휴가(아빠휴가)
• 복장 관련 : 자율 복장(반바지 착용 가능)
• 교육/훈련 : 신입사원교육(OJT), 직무능력향상교육, 리더십강화교육, 사내/외교육 지원
• 휴일/휴가 : 경조휴가, 반(반)차, 아빠휴가, 안식월"||저유전 소재 개발(석사급)|"• 석사 학위 소지자
• Epoxy계 접착제, 저유전 Low Df 포뮬레이션 유경험자
• 영어 성적 OPIc IH 이상

[전형절차]
• 서류전형 ＞  1차면접 ＞ 2차면접 ＞ 처우협의 및 평판조회 ＞ 채용검진 ＞ 입사
(전형절차는 당사 사정에 따라 변경 될 수 있습니다.)

[기타]
• 국가등록장애인 및 국가보훈 대상자는 관계법령 및 내부기준에 의거 우대합니다.
• 지원서의 기재사항과 제출 서류가 사실과 다르거나 입사후 증빙제출이 불가한 경우 채용합격이 취소됩니다."|"• FPCB용 저유전 소재 개발
- 배합 개발, FPCB 공정 모사평가"|세종|https://static.wanted.co.kr/images/wdes/0_4.edf07e8e.png|522|"• 대리~과장급 (경력 4년 이상)
• Low Df Epoxy, Olefin, Modified PI 계열 접착제 개발, 평가 업무 경력 보유자
- 배합 조성 개발, FPCB 공정 및 물성, 신호손실 특성 평가 실무"|193472
"[정밀 전자제품 핵심 소재/부품 공급사]
한화이센셜은 차별화된 기술력으로 스마트폰, 테블릿PC, 자동차 전장, 디스플레이 등 정밀 전자제품 핵심 소재/부품을 개발하여 국내 전자산업의 경쟁력 확보에 크게 기여했으며, 자동차 전장용 회로소재로 그 적용 분야를 확대하고 있습니다. 또한, OLED 패널 제조의 핵심 부품인 FMM 국산화를 위해 대규모 투자를 진행하는 등 미래 전자 소재 핵심 기업을 목표로 나아가고 있습니다."|한화이센셜|https://www.wanted.co.kr/wd/193471|https://static.wanted.co.kr/images/company/46174/bc9eg5w11nz1hnrf__1080_790.png|"• 주거지원 : 단신부임자 주거안정자금, 주택 융자금 등 지원
• 연금보험 : 국민연금(4대보험), 고용보험(4대보험), 산재보험(4대보험), 건강보험(4대보험)
• 동호회 : 사내동호회 운영, 사내동호회 지원
• 회사 분위기 : Start-up 분위기, 인재육성 중시
• 의료/건강 : 건강검진(일반/종합)
• 출산/육아 : 산전 후 휴가, 육아휴직, 남성출산휴가(아빠휴가)
• 복장 관련 : 자율 복장(반바지 착용 가능)
• 교육/훈련 : 신입사원교육(OJT), 직무능력향상교육, 리더십강화교육, 사내/외교육 지원
• 휴일/휴가 : 경조휴가, 반(반)차, 아빠휴가, 안식월"||소재 및 부품 개발(석사급)|"• 석사 학위 이상 소지자
• 반도체 Packaging 소재 개발, 생산 유경험자
• Low CTE, Low Df 소재 배합 포뮬레이션 유경험자
• 영어 회화능력 우수자

[전형절차]
• 서류전형 ＞  1차면접 ＞ 2차면접 ＞ 처우협의 및 평판조회 ＞ 채용검진 ＞ 입사
(전형절차는 당사 사정에 따라 변경 될 수 있습니다.)

[기타]
• 국가등록장애인 및 국가보훈 대상자는 관계법령 및 내부기준에 의거 우대합니다.
• 지원서의 기재사항과 제출 서류가 사실과 다르거나 입사후 증빙제출이 불가한 경우 채용합격이 취소됩니다."|"• Package 기판용 절연층 소재 개발
 - Build-up film 배합 개발, 물성 평가 및 양산화"|세종|https://static.wanted.co.kr/images/wdes/0_4.edf07e8e.png|522|"• 학사 이상
• 대리~과장급 (경력 3년 이상)
• 접착제 배합 개발, 물성 평가 경력 보유자
 - 저유전 소재, Epoxy 소재 wet coating 등
• 근무지 : 세종"|193471
"[정밀 전자제품 핵심 소재/부품 공급사]
한화이센셜은 차별화된 기술력으로 스마트폰, 테블릿PC, 자동차 전장, 디스플레이 등 정밀 전자제품 핵심 소재/부품을 개발하여 국내 전자산업의 경쟁력 확보에 크게 기여했으며, 자동차 전장용 회로소재로 그 적용 분야를 확대하고 있습니다. 또한, OLED 패널 제조의 핵심 부품인 FMM 국산화를 위해 대규모 투자를 진행하는 등 미래 전자 소재 핵심 기업을 목표로 나아가고 있습니다."|한화이센셜|https://www.wanted.co.kr/wd/193470|https://static.wanted.co.kr/images/company/46174/bc9eg5w11nz1hnrf__1080_790.png|"• 주거지원 : 단신부임자 주거안정자금, 주택 융자금 등 지원
• 연금보험 : 국민연금(4대보험), 고용보험(4대보험), 산재보험(4대보험), 건강보험(4대보험)
• 동호회 : 사내동호회 운영, 사내동호회 지원
• 회사 분위기 : Start-up 분위기, 인재육성 중시
• 의료/건강 : 건강검진(일반/종합)
• 출산/육아 : 산전 후 휴가, 육아휴직, 남성출산휴가(아빠휴가)
• 복장 관련 : 자율 복장(반바지 착용 가능)
• 교육/훈련 : 신입사원교육(OJT), 직무능력향상교육, 리더십강화교육, 사내/외교육 지원
• 휴일/휴가 : 경조휴가, 반(반)차, 아빠휴가, 안식월"||소재 및 부품개발(박사급)|"• Low CTE (≤25ppm/℃), Low Df (≤0.003 @10GHz) 상당의 포뮬레이션 유경험자
• 반도체 후공정용 소재 개발 재직자 및 유경험자
- Build-up film 등 Package 기판용 소재 개발, 평가 경험
- EMC, Underfill, Interposer 용도 소재 개발, 평가 경험
• 물성 및 화학 분석 원리, 전기전자 재료 특성 및 물성 등 반도체 재료 관련 경험 유경험자

[전형절차]
• 서류전형 ＞  1차면접 ＞ 2차면접 ＞ 처우협의 및 평판조회 ＞ 채용검진 ＞ 입사
(전형절차는 당사 사정에 따라 변경 될 수 있습니다.)

[기타]
• 국가등록장애인 및 국가보훈 대상자는 관계법령 및 내부기준에 의거 우대합니다.
• 지원서의 기재사항과 제출 서류가 사실과 다르거나 입사후 증빙제출이 불가한 경우 채용합격이 취소됩니다."|"• 열경화성 수지 기반 절연층 소재 신규 Line up 구축 및 개발
- 신규 타겟 특성 제안/설정 및 해당 절연층 소재 배합 개발 및 평가
• Package 기판용 절연층 소재 개발
- Low CTE, Low Df 에폭시계 접착제 배합 개발 및 평가"|세종|https://static.wanted.co.kr/images/wdes/0_4.edf07e8e.png|522|"• 박사학위 소지자 혹은 석사학위 소지자로서 업무경력 1년 이상
• 에폭시계 절연층 소재 배합 개발 및 평가 경력 보유자
• 열경화성 수지 배합 개발 및 평가 경력 보유자
- Dk, Df, CTE, Tg 등의 특성 조절 절연층 필름 소재 신규 배합 개발 유경험자
- 반도체 向 신규 수지 개발 유경험자"|193470
"에스오에스랩은 2016년 6월 설립되어 만 7년이 지난 기업으로, 누적 투자액 약 500억을 달성 하였습니다. 무엇보다 CES2021에서 'CES혁신상', 2023 서울 모빌리티 어워드 대상 등을 수상한 국내 최고의 라이다 전문 기업으로 2023년 IPO를 통해 한단계 더 성장하려는 준비를 하고 있습니다. 최고의 실력과 우수한 팀원으로 구성된 에스오에스랩의 로켓에 탑승하실 여러분을 모집합니다.

https://www.etnews.com/20230407000016
https://wowtale.net/2022/07/27/44092/
https://news.mt.co.kr/mtview.php?no=2022100513355857444"|에스오에스랩(SOS LAB)|https://www.wanted.co.kr/wd/193369|https://static.wanted.co.kr/images/company/13745/cdr1oggch7r4ldee__1080_790.jpg|"- 직급 없이 닉네임으로 부르는 호칭
- 입사 후 3년간 300만원 내 자유롭게 선택
- 이후 3년간 250만원 이내 컴퓨터 교체/구매 가능
- 입사월에 따른 복지포인트 지급
- 한 달에 하루 전사 휴무
- 정규직 수습3개월"||[100억↑투자] 구매, 자재 담당자|"- 회로자재관리 경험자
- 엑셀활용능력 우수자"|"- 구매업무
- 자재 입출고 관리 (원자재입고, 생산출고, 완제품 출고 등)
- 자재창고 운영 관리 (원자재, 완제품)
- 완제품 포장업무"|경기 용인시 수지구 신수로 767 분당 수지유타워 23층|https://static.wanted.co.kr/images/wdes/0_4.f2bf49e2.jpg|522|"- 학력: (초)대졸
- 경력: 2년 이하"|193369
